Effectiveness,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,Not sure,Total,,Effectiveness,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree
SP1,0,0,0,15,41,0,56,,SP1,0.00%,0.00%,0.00%,26.79%,73.21%
SP2,0,0,3,33,20,0,56,,SP2,0.00%,0.00%,5.36%,58.93%,35.71%
SP3,0,2,19,23,11,1,55,,SP3,0.00%,3.64%,34.55%,41.82%,20.00%
,,,,,,,,,,,,,,
IP1,0,0,1,9,45,1,55,,IP1,0.00%,0.00%,1.82%,16.36%,81.82%
IP2,0,1,1,15,37,2,54,,IP2,0.00%,1.85%,1.85%,27.78%,68.52%
IP3,0,0,1,22,33,0,56,,IP3,0.00%,0.00%,1.79%,39.29%,58.93%
,,,,,,,,,,,,,,
WP1,0,0,7,24,24,1,55,,WP1,0.00%,0.00%,12.73%,43.64%,43.64%
WP2,1,1,18,21,14,1,55,,WP2,1.82%,1.82%,32.73%,38.18%,25.45%
WP3,0,1,9,24,22,0,56,,WP3,0.00%,1.79%,16.07%,42.86%,39.29%
WP4,0,2,1,21,31,1,55,,WP4,0.00%,3.64%,1.82%,38.18%,56.36%
WP5,0,1,2,13,39,1,55,,WP5,0.00%,1.82%,3.64%,23.64%,70.91%